xid,Project Name,Builder Name,Project Address,Property Type,Amenities,Amentity_count,rera_no,Project Area,Project Size-Tower Count,Project Size-Unit Count,Configs,Unit range
r394193,ARCTIC LUXURY APARTMENTS | COMMERCIALS,DHUNI CONSTRUCTIONS PVT. LTD.,"PLOT NO. 5, KH. NO. 166,167,168,
MOUZA JAITALA, NAGPUR.","Residential - Apartments, Commercial - Retail spaces","Earthquake Resistant,Society Office,Children's Play Area,Gymnasium,Multipurpose Hall,Car Parking,CCTV Camera Security,Open Space",8,P50500046221,24546 SQ. FT.,Not found,Not found,"2BHK,3BHK,3BHKD",1175.508~1775.988 sq. ft.
r394508,Shree Siddheshwar Havelock,Nyal Karan Group,"Shree Siddheshwar Havelock, Opp. Bansal Mall, Sama Savli Road, Vadodara","Commercial - Retail spaces, Residential - Apartments","Earthquake Resistant,Landscape Garden,Children's Play Area,Swimming Pool,Jogging Track,Mini Theatre,Indoor Games,Gymnasium,Creche/Day care,Gated Community,24/7 Water Supply,Car Parking,Fire Fighting Systems,Intercom,Rain Water Harvesting,24x7 Security,CCTV Camera Security,24/7 Power Backup,Lift(s),Solar Panel",21,Not found,Not found,Not found,Not found,"3BHK,4B2HK,5B3HK",605~3095 sq.ft
r394576,Pearl,Not found,"Sargasan, Gandhinagar, Gujarat, India",Residential - Apartments,"Car Parking,Lift(s),Landscape Garden",3,Not found,550.03 SQ MT,Not found,Not found,3 BHK,None
r395128,Happiness Hub,GHPL and Giridhari Homes,"Kismatpur, Hyderabad",Residential - Apartments,"Gated Community,Vastu Compliant,Children's Play Area,Amphitheatre,Rain Water Harvesting,Sewage Treatment Plant,24x7 Security,Club House,Swimming Pool,Indoor Games,Badminton Court,Skating Rink,Temple,Water Treatment Plant",16,P02400004673,5.5 acres,3,567,"2BHK,3BHK",1033~1601 sq.ft
r395384,Tikona Shrushti,Phoenix Landmark,"Near Hadashi Lake, Pavana Dam Road, Mulshi, Pune",Residential - Plots,"Gated Community,Temple",2,Not found,Not found,Not found,Not found,None,"11,000 sqft Onwards"
r395455,OLYMPUS II,HiLITE Builders Pvt Ltd,"HiLITE City, Calicut",Residential - Apartments,"Rooftop Lounge,Table Tennis,Foosball,Barbecue,Library,Cycle Track,Skating Rink,Gymnasium,Jogging Track,Lift(s),Sewage Treatment Plant,Rain Water Harvesting,CCTV Camera Security,Biometric/Smart Card Access,Fire Alarm,Smoke Detectors,Intercom,Landscape Garden,Park,Children's Play Area,Swimming Pool,Club House,Multipurpose Hall,Car Parking,24/7 Power Backup,Creche/Day care,Society Office,Pet Park,Temple",31,K-RERA/PRJ/KKD/019/2025,3.78 acres,1,412,"1 BHK,2 BHK,3 BHK",934~2733 sq.ft
r395789,ANAND SOMU AARUSH,Anand Group,"#25, Further Extension of BDA Anjanapura 9th Block  
Adjacent to JP Nagar 8th Phase, Bangalore 560 108",Residential - Townhouses,"Gated Community,Children's Play Area,Swimming Pool,Club House,Gymnasium,Indoor Games,Badminton Court,Sauna,Jacuzzi,Amphitheatre,CCTV Camera Security,24x7 Security,Intercom,Lift(s),24/7 Power Backup,Landscape Garden,Car Parking,Party Lawn,Community Hall,Video Door Security,Vaastu Compliant",22,PRM/KA/RERA/1251/310/PR/150922/005241,2.0 Acres,Not found,58,"3 BHK,4 BHK",3083~4073 sq.ft
r396286,Skyvue126,AADISHWAR BIZCON LLP,"NR. KANCHANBHUMI JAIN DERASAR,
OPP. SEEMA HALL, SATELLITE, AHMEDABAD.",Residential - Apartments,"Security Cabin,Car Parking,Children's Play Area,Gymnasium,Badminton Court,Banquet Hall,Home Theater,Indoor Games,Senior Citizen Sitout,Landscape Garden,Club House,24/7 Water Supply,Earthquake Resistant,24x7 Security,Lift(s)",16,"PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA
MAA10646/180722",Not found,Not found,Not found,3 BHK,None
r397228,Swagat Homes,Swagat Infra,"Swagat Homes, Nr. prime point,
New Bamroli main Road,
Vadod, Surat.",Residential - Apartments,"Landscape Garden,Party Lawn,Gazebo,Children's Play Area,Jogging Track,Security Cabin,CCTV Camera Security,Lift(s),Fire NOC",9,Not found,Not found,Not found,Not found,2 BHK,49.10~49.65 sq.mt
r397790,Shivabagh,Not found,"Kadri-Mallikatta, Mangalore",Residential - Apartments,"Gated Community,Children's Play Area,Jogging Track,Swimming Pool,Club House,Mini Theatre,Gymnasium,Lounge,Amphitheatre,Multipurpose Court,Indoor Games,Waiting Lounge",12,Not found,Not found,1,150,"3BHK,4BHK,5BHK,6BHK,Duplexes",2488~6568 sq.ft
r397831,Passion Royal Cottages,Passion Real-Estate,"Singhpur, Kanpur, Uttar Pradesh",Residential - Townhouses,"Gated Community,Gymnasium,Swimming Pool,Badminton Court,Tennis Court,Jogging Track,Sewage Treatment Plant,Rain Water Harvesting,CCTV Camera Security,Banquet Hall,Card Room",11,UPRERAPRJ692448,Not found,Not found,200,"Duplexes,Triplexes,Plots",None
r398777,Avencia,ARR INFRACON,"Survey No: 424/4, 424/7 & 484/1, 484/3, 484/5, Ramdhesan (Vibha),
Indian Industrial Area, Velavadar, Tal: Vagra - 392140.",Residential - Apartments,"Gated Community,Earthquake Resistant,Children's Play Area,Swimming Pool,Gymnasium,Indoor Games,STP Plant,Rain Water Harvesting,Pergola,Amphitheatre,Outdoor Gym,Outdoor Yoga Space,Intercom,24/7 Power Backup,CCTV Camera Security,24x7 Security,Landscape Garden,Party Lawn",20,Not found,~13 acres,Not found,140,"2BHK,3BHK",1295~1550 sq. ft
r398941,Urban Tree Marvellous,Urban Tree,"Chevalier Sivaji Ganesan Road (formerly known as South Boag Road), T. Nagar",Residential - Apartments,"Earthquake Resistant,Vastu Compliant,Solar Panel,Yoga/Meditation Area,Landscape Garden,Children's Play Area,Swimming Pool,CCTV Camera Security,24x7 Security,Biometric/Smart Card Access,Intercom Facilities,24/7 Power Backup,Water Treatment Plant,Gated Community,24/7 Water Supply,Rain Water Harvesting,Access control entry",18,Not found,Not found,Not found,34,"2BHK,3BHK,4BHK",1151~3091 sq. ft
r399160,Mahaveer Highlands,Mahaveer Group,"No. 201, 2nd Floor, Sona Towers, 71, Millers Road, Bangalore - 560052",Residential - Apartments,"Children's Play Area,Swimming Pool,Multipurpose Hall,Gymnasium,Indoor Games,Organic Waste Converter,Rain Water Harvesting,Sewage Treatment Plant,Water Treatment Plant,CCTV Camera Security,24x7 Security",12,Not found,Not found,Not found,Not found,"2B+K,3B+K+T",647~1450 sq.ft
r399320,Orange Nagari,Millennium Developers & Promoters Pvt. Ltd.,"Kh. No. 40, 41 & 42/1, Mouza - Wanadongri, Tah. Hingna Dist. Nagpur",Residential - Plots,"Basketball Court,Badminton Court,Park,Internal Street Lights,Sewage Treatment Plant,Water Treatment Plant,Children's Play Area",7,Not found,Not found,Not found,Not found,None,1178.85~4436.47 sq.ft
r399417,JURI heights,SPS INFRASTRUCTURE,"Jilka Path / Juripar Path (Both)
Kalakshetra, Panjabari Panjabari Road
Six Mile - 780023",Residential - Apartments,"Gated Community,Vastu Compliant,Gymnasium,Landscape Garden,Club House,Children's Play Area,Swimming Pool,Badminton Court,Temple,Security Cabin,24/7 Water Supply,24/7 Power Backup,Jogging Track",14,Not found,Not found,Not found,Not found,3BHK,1261~1462 sq.ft
r399657,Park Vue Ultra Luxury Apartments,PMR Group,"Villa #17, PMR Parkwood
Kompally, R R District.",Residential - Apartments,"Gymnasium,Entrance Lobby,Intercom Facilities,Gated Community,24/7 Power Backup,Waste Management,Rain Water Harvesting,Lift(s),Car Parking,CCTV Camera Security,Fire Fighting Systems",11,Not found,Not found,Not found,40,3BHK,1983~2278 sqft
r399935,Shree Siddheshwar Hridayam,Nyalkaran Group,"Nr. Shakti Green Party Plot, Vasna Bhayli Road, Bhayli, Vadodara","Commercial - Retail spaces, Residential - Apartments","Earthquake Resistant,Internal Street Lights,Landscape Garden,Children's Play Area,Security Cabin,Fire Fighting Systems,24x7 Security,Video Door Security,Rain Water Harvesting,Lift(s),Car Parking,Swimming Pool,Club House,Gymnasium,MultiPurpose Court,Gazebo,Sit Out Area",17,Not found,Not found,Not found,164,"3BHK,4BHK,Showrooms",None
r399938,AARNA 48,AARNA Buildtech,"AARNA 48, Near Aarna39, Beside Priya Cinema,
30 Mtr. Main Road, Bhayli TP 2, Vadodara.",Residential - Apartments,"Gated Community,Car Parking,Children's Play Area,Indoor Games,Gymnasium,Multipurpose Hall,Landscape Garden",7,Not found,Not found,Not found,Not found,3 BHK,1364~1376 sq.ft
r400533,TEMPLE TOWN,Manchester Properties (P) Ltd,"KARAMADAI, COIMBATORE",Residential - Plots & Villas,"Children's Play Area,Jogging Track,24x7 Security,Solar Lighting,Gated Community,Park",6,Not found,Not found,Not found,Not found,"1 BHK,2 BHK,3 BHK,4 BHK",450~1600 sq.ft
r400686,Magadha Village,MAGADHA PROJECTS,"VIJAYAWADA, ANDHRA PRADESH, INDIA",Residential - Single-family homes,"Children's Play Area,Club House,Landscape Garden,Park,Jogging Track,Badminton Court",6,Not found,Not found,Not found,Not found,None,None
r401021,The Mahalakshmi Jai ho,energy livingscapes,"Vandiyur, Madurai.",Residential - Apartments,"Vastu Compliant,Lift(s),24x7 Security,EV Charging Stations,Borewell Water Supply",5,Not found,Not found,Not found,Not found,None,925~1766 Sq.Ft
r401062,GREEN COUNTY,GREENVILLE PROJECTS PVT LTD,SADASIVPET MUNICIPALITY,Residential - Villas,"Gated Community,Park,Club House",3,P01100005272,Not found,Not found,Not found,None,None
r401160,DAC Silicon Valley Californian Styled Villas,DAC Developers,"Navalur, OMR",Residential - Villas,"Gated Community,Vastu Compliant,Yoga/Meditation Area,Sauna,Gymnasium,Landscape Garden,Manicured Garden,Sit Out Area,Park,Club House,Children's Play Area,Swimming Pool,Barbecue,Jogging Track,Indoor Games,Cycling Track,CCTV Camera Security,24x7 Security,Intercom,Lift(s),Maintenance Staff,24/7 Water Supply,School,Community Hall,Library,Pet Park,Co-Working Spaces,Outdoor Event Spaces,Carrom,Chess,Dart Board,Billiards,Pool Table,Foosball,Air Hockey,Table Tennis,Badminton Court,Video Gaming Room,Spa,Doctor on Call,Sauna,Steam Room,Terrace Garden,Flower Garden,Fountain,Senior Citizen Sitout,Club House,Multipurpose Hall,Children's Play Area,Nature Trail,Swimming Pool,Multipurpose Court,Mini Theatre,Card Room,Indoor Games,CCTV Camera Security,24x7 Security,Intercom Facilities,Rooftop Lounge,Lounge,Restaurant,Cafeteria,Waste Management,Garbage Disposal,Rain Water Harvesting,Car Parking,Rooftop Lounge,Sauna,Steam Room,Gymnasium,Manicured Garden,Sit Out Area,Park,Club House,Children's Play Area,Swimming Pool,Barbecue,Indoor Games,CCTV Camera Security,24x7 Security,Intercom Facilities,Car Parking",60,TN/29/Layout/9280/2022,2.4 acre,Not found,57,"3 BHK,4 BHK,2 BHK",1047~2741 sq.ft
r401544,THE MARK,Madhuvan Group,Not found,Residential - Apartments,"Anti-termite Treatment,Gated Community,Internal Street Lights,Vastu Compliant,Children's Play Area,Car Parking,Swimming Pool,Gymnasium,Landscape Garden,Rain Water Harvesting,24/7 Water Supply,Lift(s),24x7 Security,Community Hall,Indoor Games,Club House,Multi Purpose Hall",17,Not found,Not found,Not found,Not found,"3 BHK,4 BHK",None
r402596,DSR Green Waters,DSR Group,"Carmelaram Road, Gunjur, Off Sarjapur Road
BENGALURU",Residential - Apartments,"Gated Community,Internal Street Lights,Vastu Compliant,Creche/Day care,Temple,Community Hall,Library,Pet Park,Co-Working Spaces,Outdoor Event Spaces,Carrom,Chess,Dart Board,Billiards,Pool Table,Foosball,Air Hockey,Cricket Pitch,Football Ground,Table Tennis,Volley Ball Court,Lawn Tennis Court,Beach Volley Ball Court,Basketball Court,Skating Rink,Squash Court,Badminton Court,Rock Climbing Wall,Futsal,Video Gaming Room,Massage Room,Yoga/Meditation Area,Jacuzzi,Spa,Ayurvedic Centre,Aerobics Centre,Doctor on Call,Sauna,Steam Room,Gymnasium,Landscape Garden,Open Space,Manicured Garden,Terrace Garden,Flower Garden,Fountain,Park,Cabana Sitting,EV Charging Stations,Car Parking,Music Room,Dance Studio,Art and Craft Studio,Club House,Multipurpose Hall,Children's Play Area,Sand Pit,Nature Trail,Swimming Pool,Multipurpose Court,Theatre,Banquet Hall,Sun Deck,Party Lawn,Gazebo,Barbecue,Amphitheatre,Jogging Track,Mini Theatre,Card Room,Indoor Games,Cycling Track,Gaming Zones,Art Gallery,CCTV Camera Security,Security Cabin,Fire Fighting Systems,Smoke Detectors,Gas Leak Detectors,24x7 Security,Video Door Security,Intercom Facilities,Ambulance Service,Lounge,Conference Room,Waiting Lounge,Restaurant,Cafeteria,Piped Gas,RO System,Wi-Fi Connectivity,Laundry,Salon,Shopping Centre,Grocery Shop,Concierge Service,Lift(s),Property Staff,Entrance Lobby,Intercom,ATM,Maintenance Staff,DG Availability,24/7 Power Backup,Underground Electric Cabling,Centralized Air Conditioning,Power Substation,Plumber/Electrician on Call,Waste Management,Garbage Disposal,Sewage Treatment Plant,Waste Segregation and Disposal,Recycling Facilities,Organic Waste Converter,Composting Facilities,24/7 Water Supply,Water Softener Plant,Rain Water Harvesting,Borewell Water Supply,Municipal Water Supply,Smart Water Meters,Water Treatment Plant,Earthquake Resistant",127,1251/446/PR/061222/005506,1.5 Acres,Not found,126,"2 BHK,2.5 BHK,3 BHK",1004~1510 sq.ft
r402726,Satvam Icon,SWENI CORPORATION,"???? ?????????? ????? ????, ???????? ??????? ????,??? ??? ????,
??? ??? ???, (?????-????), ???????.",Residential - Apartments,"Gated Community,Internal Street Lights,Solar Panel,Club House,Children's Play Area,Car Parking,24x7 Security,Lift(s)",8,Not found,Not found,Not found,Not found,2BHK,115.8~129.0 sq. m
r403265,Konkan Srushti,Vishhram Developers,"S.No 80, 13 Chandranagar, Near Ladghar Beach, Dapoli, MH",Residential - Villas,"Gated Community,Open Space,Club House,Children's Play Area,Swimming Pool,Gymnasium,Yoga/Meditation Area,Gazebo,Indoor Games,Landscape Garden",10,Not found,6 acres,Not found,50,"1BHK,2BHK","2,340~4,200 sq. ft."
r403508,SHIVAM HIGHVIEW,Shree Infra,"Nr. Narayan Smruti Hospital,
Savita Hospital Road,
Waghodia-Dabhoi Ring Road,
Vadodara.",Residential - Apartments,"Anti-termite Treatment,Children's Play Area,Jogging Track,Club House,Multi Purpose Hall,Car Parking,24/7 Water Supply,Internal Street Lights",8,PR/GJ/VADODARA/VADODARA/Others/RAA10862/031122,Not found,4,Not found,"2 BHK,3 BHK",618~936 sq.ft
r403815,Hirize Elysia,Hirize Developers,"Kokapet, Hyderabad, Telangana-500075",Residential - Apartments,"Gated Community,Rain Water Harvesting,EV Charging Stations,Club House,Swimming Pool,Gymnasium,Jogging Track,Cycling Track,Tennis Court,Basketball Court,Cricket Pitch,Badminton Court,Yoga/Meditation Area,Smart Home Automation,Intercom Facilities,24/7 Power Backup,Solar Lighting,Panic Buttons in Apartments",18,P02400005842,4 ACRES,3,371,"2BHK,3BHK",1165~3380 sq.ft
r403839,THE ROYAL GANGES,SRIJAN REALTY,"Holding no C4-173 (New)
Mouza ~ Krishnanagar
JL 1 under Maheshtala Municipality
PO Batanagar  PS Maheshtala
(Near Bata Factory beside
Uludanga Park)
24 Parganas South 700 141","Residential - Bungalows, Villaments and Towers","Pet Park,Rainwater harvesting,Sewage treatment plant,Low Flow Fixtures,EV Charging Stations,Energy Efficient Lightining,Gymnasium,Jacuzzi,Sauna,Club House,Swimming Pool,Badminton Court,Lawn Tennis Court,Basketball Court,Squash Court,Card Room,Indoor Games,Cycling Track,Jogging Track,Amphitheatre,Banquet Hall,Party Lawn,Restaurant,Bar,Business Lounge,Conference Room,Reading Lounge,Lift(s),Intercom,24/7 Power Backup,Landscape Garden,Children's Play Area,Temple,Community Hall,Library,Carrom,Chess,Dart Board,Pool Table,Table Tennis,Volley Ball Court,Cricket Pitch,Football Ground,Rock Climbing Wall,Video Gaming Room,Massage Room,Yoga/Meditation Area,Rooftop Lounge,Lounge,Mini Theatre,CCTV Camera Security,Fire Fighting Systems,24x7 Security,Fire Alarm,Waste Management,Garbage Disposal,24/7 Water Supply,Water Treatment Plant,Solar Lighting,Solar Panel,Manicured Garden,Flower Garden,Fountain,Park,Car Parking,Borewell Water Supply,Outdoor Event Spaces",71,Not found,26.53 acres approximately,22,2300,"4 BHK,2 BHK,3 BHK",1047~4047 sqft
r403967,DITYA LUXURIA,DITYA CONSTRUCTION COMPANY,"Yashwant Smart City, Madhuvan, Vasai East",Residential - Apartments,"Society Office,Library,Community Hall,Badminton Court,Gymnasium,Steam Room,Yoga/Meditation Area,Co-Working Spaces,Foosball,Jogging Track,Children's Play Area",11,Not found,Not found,Not found,Not found,"3BHK,4BHK,2BHK",None
r404087,Trinetra Skydeck,SIDDHI DEVELOPERS,"Trinetra skydeck, Nr. Khiskoli Circle, Manjalpur-Atladara Road, Atladara, Vadodara",Residential - Apartments,"Earthquake Resistant,Landscape Garden,Multipurpose Hall,Gazebo,Children's Play Area,Jogging Track,Yoga,Car Parking,Intercom",10,Not found,Not found,Not found,Not found,"2BHK,3BHK",None
r404170,Triveni Jagdish Garden,PRAVUJAGDISH REALTORS PRIVATE LIMITED,"NEAR VIJAYA GARDEN,
GATE NO. - 3,
MOHARDA, BARIDIH,
JAMSHEDPUR, JHARKHAND,
PIN - 831017",Residential - Apartments,"Anti-termite Treatment,Gymnasium,Landscape Garden,Swimming Pool,Community Hall,Temple,Sauna,Spa,Laundry,Children's Play Area,Indoor Games,Basketball Court",12,Not found,Not found,2,134,"3BHK,2BHK,1BHK",585~1420 sq.ft
r404678,KEDIA ????????,KEDIA,"Ajmer Road, Jaipur",Residential - Apartments,"Temple,Children's Play Area,Sand Pit,Nature Trail,Badminton Court,Skating Rink,Lawn Tennis Court,Mini Golf,Jogging Track,Cycling Track,Basketball Court,Gymnasium,Library,Conference Room,Indoor Games,Swimming Pool,Cafeteria,Banquet Hall,Open Air Theatre,Gazebo",20,RAJ/P/2023/2387,Not found,Not found,Not found,"2 BHK,3 BHK,4 BHK",800~2070 sq.ft
r404760,LML THE LEAGUE ONE,LML Homes,"Kattupakkam, Chennai - 600 056",Residential - Apartments,"Gated Community,Gymnasium,Yoga/Meditation Area,Landscape Garden,Children's Play Area,Club House,Swimming Pool,Table Tennis,Billiards,Air Hockey,Foosball,Badminton Court,Carrom,Dart Board,Steam Room,MultiPurpose Hall,Creche/Day care,EV Charging Stations,24x7 Security,Rain Water Harvesting,Sewage Treatment Plant,Car Parking,24/7 Water Supply",24,TN/2/Building/0405/2024,1.22 Acres,4,125,"2BHK,3BHK",993~1426 sq.ft
r404762,LML SKY LIVING,LML Homes,"Dharkast Road, Kannadapalayam, Kishkintha Main Road, Tambaram, Chennai - 600045",Residential - Apartments,"Anti-termite Treatment,Gated Community,Vastu Compliant,Creche/Day care,Carrom,Dart Board,Billiards,Foosball,Air Hockey,Table Tennis,Basketball Court,Badminton Court,Yoga/Meditation Area,Sauna,Steam Room,Gymnasium,Landscape Garden,Park,Barbecue,Swimming Pool,Club House,Multipurpose Hall,Children's Play Area,Indoor Games,Rain Water Harvesting,Sewage Treatment Plant,24x7 Security,Lounge",27,TN/35/Building/0034/2025,Not found,Not found,175,"2BHK,3BHK,4 BHK",1095~1995 sq.ft
r404995,Vraj Metropolis South,Krrish Group,"Opp. Tractor House, Nr. Tigrania Factory, Dwarka, Nashik",Residential - Apartments,"24x7 Security,Senior Citizen Sitout,EV Charging Stations",3,P51600048726,Not found,Not found,Not found,"2BHK,3BHK,4BHK",None
r405001,Siddhi Vinayak Elements,Shiv Shakti Corporation,"Siddhivinayak Elements, F.P. No. 1, T.P. No.-43, Bhesan Main Road, Opp. Kashiram Rana Medical College, Jahangirabad, Surat-395005",Residential - Apartments,"Earthquake Resistant,Intercom Facilities,24x7 Security,Children's Play Area,Skating Rink,Indoor Games,Gymnasium,Amphitheatre,Jogging Track,Lift(s),Car Parking,Banquet Hall,Society Office,Landscape Garden,Water Feature,Park,Club House,Swimming Pool",18,PR/GJ/SURAT/CHORASI/SUDA/MAA11387/040323,Not found,Not found,Not found,"3BHK,2BHK",63.75~963.14 sq.ft
r405006,I-Stay,Starwing Group,"Marol, Andheri East, Mumbai - 400059",Residential - Apartments,"Vastu Compliant,Cycling Track,Sit Out Area,Children's Play Area,Multi Purpose Court,Badminton Court,Vertical Garden,Business Lounge,Swimming Pool,Gymnasium,Jogging Track,Meditation Area,Table Tennis,Pool Table,Chess,Air Hockey,Foosball,Basketball Court",18,P51800049840,2.25 acres,Not found,Not found,"2BHK,1BHK",350~450 sq. ft
r405486,MRG Crown Premium Residences,MRG Group India Private Limited,"9th Floor, IREO Grand View Tower, Sector 58  Golf Course Extension Road, Gurugram,  HR-122102",Residential - Apartments,"Gated Community,Children's Play Area,Jogging Track,Swimming Pool,Club House,Car Parking,24x7 Security,Intercom Facilities,Landscape Garden,Park,Gymnasium,Spa,Sauna,Billiards,Badminton Court,Skating Rink,Basketball Court,Amphitheatre,Community Hall,Party Lawn,Lounge,Salon,EV Charging Stations",27,47 of 2023,1.5 Acres,Not found,Not found,3BHK,1359~1593 sq. ft.
r406021,Majestic Heights,Aashray Realty,"30 Mtrs. Bill Canal Road, Village Bill, Vadodara - 391410",Residential - Apartments,"Car Parking,Lift(s),24/7 Water Supply,CCTV Camera Security,24x7 Security,Letter Box",6,Not found,Not found,Not found,Not found,"2BHK,3BHK",837~1390 sq.ft
r406584,LUMBINI ELYSEE,Lumbini Constructions,"Financial District, Gachibowli, Hyderabad - 500 032",Residential - Apartments,"Earthquake Resistant,Gated Community,Vastu Compliant,Children's Play Area,Badminton Court,Basketball Court,Skating Rink,Gymnasium,Jogging Track,Swimming Pool,Indoor Games,Banquet Hall,Intercom,24/7 Power Backup,Sewage Treatment Plant,Waste Management,Rain Water Harvesting,Landscape Garden,Meditation Area,Car Parking,Amphitheatre,Club House,24x7 Security,Boom Barrier,Lift(s),Property Staff,Maintenance Staff,Power Back up Lift,DG Availability,Gymnasium,Smart Home Automation,Pet Park,Yoga/Meditation Area,Open Space,Video Door Security,Biometric/Smart Card Access,Fire Fighting Systems,CCTV Camera Security,Creche/Day care,Party Lawn,Security Cabin",42,Not found,Not found,10,156,"3 BHK,4 BHK","2,101 sq. ft~4,214 sq ft"
r406960,PIRAMYD Serenity,PIRAMYD GROUP,"T.P.-09, F.P.-16/A, Nr. Fire Station, Beside Canal, Gauravpath Road, Palanpore, Surat, Gujarat",Residential - Apartments,"Earthquake Resistant,Gated Community,Car Parking,24x7 Security,Gymnasium,Multipurpose Hall,Terrace Garden,Children's Play Area",8,PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/MN261AA10161/021222,Not found,Not found,Not found,"3BHK,4BHK",None
r407380,Vraj Central Vista,DHAIRYA DEVELOPERS,"Sr No. 887 /1A/2/1/2/A/2 Plot No, 1 to 4, Nr. Day Care High School, Indira nagar, Nashik. 422009.",Commercial - Retail spaces,"Earthquake Resistant,Temple,Car Parking,Gymnasium,Jogging Track,Banquet Hall,Cafeteria,Indoor Games,Toddlers Play Area,Yoga/Meditation Area,Net Cricket,Football Ground",12,P51600048828,Not found,Not found,Not found,"2 BHK,3 BHK",None
r407426,Shri Siddheshwar Highwing,NYALKARAN GROUP,"B/h Dmart Mall & Omkara Planet,
Khodiar Nagar Crossing, New VIP Road,
New Karelibaug, Vadodara.","Commercial - Retail spaces, Residential - Apartments","Earthquake Resistant,Gated Community,Internal Street Lights,Vastu Compliant,Car Parking,Club House,Children's Play Area,Swimming Pool,Gymnasium,Jogging Track,Landscape Garden,Fire Fighting Systems,24x7 Security,Rain Water Harvesting,Library,Temple,Community Hall,MultiPurpose Hall,Terrace Garden,Badminton Court,Cricket Pitch,MultiPurpose Court,Gazebo,CCTV Camera Security,Security Cabin",26,Not found,Not found,Not found,Not found,"2 BHK,3 BHK",445.40~1014.00 sq.ft.
r407522,GAHAN ORCHID,GAHAN DEVELOPERS,"Dulapally, Kompally Hyderabad, Telangana -500100",Residential - Apartments,"Gated Community,Vastu Compliant,Rain Water Harvesting,24x7 Security,Car Parking,Swimming Pool,Children's Play Area,Club House,DG Availability,Lift(s),Landscape Garden,Indoor Games,Security Cabin,Lounge,Changing Area,Gymnasium,Power Back up Lift,Intercom",18,P02200005990,2.8 Acres,Not found,220,"2BHK,3BHK",1062~1512 sq.ft.
r407579,Varca Palms Apartments,Not found,coastal village of Varca in South Goa,Residential - Apartments,"Gated Community,Car Parking,Lift(s),Swimming Pool,24x7 Security,Landscape Garden",6,PRGO01231836,"3,700 sq. mtrs",Not found,18,2BHK,1550 sq ft
r407878,Railway Colony,Shri Mahakaal Builders & Developers,"Anand Vihar, Railway Colony, Mahal Road, Jagatpura, Jaipur",Residential - Apartments,"Mini Theatre,Swimming Pool,Gated Community,Rain Water Harvesting,Car Parking,Vastu Compliant,Community Hall,Wi-Fi Connectivity,Lift(s),24/7 Water Supply,Terrace Garden,Gymnasium",12,Not found,Not found,Not found,Not found,"3 BHK,4 BHK",1445.36~1932.63 sq.ft
r408280,FUJI AT HALCYON,REAL PLUS,"Jubilee Hills, Hyderabad, Telangana, India",Residential - Apartments,"Creche/Day care,Gymnasium,Spa,Restaurant,Swimming Pool,Amphitheatre,Co-Working Spaces,Party Lawn,Club House,24x7 Security,Landscape Garden,Car Parking,Intercom Facilities,Lift(s),Maintenance Staff,Waste Management,STP,Car wash area,Gated Community,Earthquake Resistant,CCTV Camera Security,Fire Fighting Systems,Internal Street Lights,Vaastu Compliant,Children's Play Area",25,P02500005860,2.2 acres,7,75,"4 BHK,5 BHK","7,504 sq.ft~10,121 sq.ft"
r408295,ANKUR APARTMENT,Not found,"C.T.S No. 47/13A. Final Plot No. 70/3, Erandwane near, Next to SNDT College, Pune 411004.",Residential - Apartments,"Gated Community,Solar Water Heating,Children's Play Area,Gymnasium,Yoga/Meditation Area,Senior Citizen Sitout,Gazebo,Party Lawn,Rain Water Harvesting,Lift(s),Intercom",11,P52100049906,Not found,Not found,24,3 BHK,None
r408482,RUDRA SENIORS,Rudra,"MIG # 25, Sector # 1, MVP Colony
Visakhapatnam - 530017, Andhra Pradesh, India",Residential - Apartments,"Gated Community,Vastu Compliant,Car Parking,Club House,Children's Play Area,Swimming Pool,Jogging Track,24x7 Security,Lift(s),Maintenance Staff,Sewage Treatment Plant,Rain Water Harvesting,Gymnasium,Community Hall,Landscape Garden,Badminton Court",16,P03280023420,Not found,Not found,Not found,2BHK,990~1245 sq.ft
r408871,Shantam Villa,Stone Craft Infra,"Shantam Villa, Near Woods villa, Billabong School to Vishwamitri Road, New Manjalpur, Vadodara-390010",Residential - Villas,"Gated Community,Private Gardens/Balconies,Landscape Garden,Terrace Garden,Club House,Children's Play Area,Indoor Games,CCTV Camera Security,24x7 Security,Intercom Facilities,Rain Water Harvesting,Gymnasium,Multipurpose Hall,Party Lawn,Jogging Track,Home Theater",16,PR/GJ/VADODARA/VADODARA/Others/RAA11629/180423,Not found,Not found,Not found,5B2HK,1147.50~1455.50 sq.ft
r409005,The Northland,Madhu Vitthal,"?????. ??. 158, ?????? ???, ????-????????? ???? ???, ???????, ????? - 422004.",Residential - Apartments,"Gated Community,Vastu Compliant,Society Office,Carrom,Table Tennis,Gymnasium,Park,Children's Play Area,Swimming Pool,Indoor Games,CCTV Camera Security,24x7 Security,Intercom Facilities,Lift(s),24/7 Power Backup,Rain Water Harvesting,Temple,Library,Jogging Track,Amphitheatre,Car Parking,Club House,Multi-purpose Hall,Solar Lighting,Landscape Garden,Paved Compound",26,P51600048737,Not found,Not found,Not found,"2BHK,3BHK",None
